Date,Close/Last,Volume,Open,High,Low,MSFT_return
2014-05-06,39.06,27105700,39.29,39.35,38.95,-0.00925808497146463
2014-05-07,39.425,41731030,39.22,39.51,38.51,-0.005423814328960774
2014-05-08,39.64,32089010,39.34,39.9,38.97,0.0025290844714214167
2014-05-09,39.54,29646100,39.54,39.85,39.37,-0.010758068551413591
2014-05-12,39.97,22761620,39.74,40.02,39.65,-0.011133102424542352
2014-05-13,40.42,26994040,39.92,40.5,39.85,0.004473161033797135
2014-05-14,40.24,18803840,40.3,40.45,40.05,0.016161616161616266
2014-05-15,39.6,37717220,40.09,40.4,39.51,-0.005774541802661237
2014-05-16,39.83,29867030,39.67,39.84,39.27,0.0020125786163520676
2014-05-19,39.75,23640880,39.61,39.82,39.46,0.0017641129032257563
2014-05-20,39.68,21318920,39.68,39.94,39.46,-0.016604708798017342
2014-05-21,40.35,22377460,39.8,40.35,39.7399,0.006234413965087171
2014-05-22,40.1,20201010,40.29,40.35,39.85,-0.0004985044865403188
2014-05-23,40.12,18013300,40.37,40.37,40.0,-0.0017417267977108963
2014-05-27,40.19,26160450,40.26,40.26,39.81,0.004498875281179648
2014-05-28,40.01,25711440,40.14,40.19,39.82,-0.008180466038671397
2014-05-29,40.34,19887140,40.15,40.35,39.91,-0.01465559355153867
2014-05-30,40.94,34564370,40.45,40.97,40.25,0.0036773719048786013
2014-06-02,40.79,18493950,40.95,41.09,40.68,0.012410027302059978
2014-06-03,40.29,18041370,40.6,40.68,40.25,-0.0007440476190476719
2014-06-04,40.32,23198020,40.21,40.37,39.86,-0.021596699830138344
2014-06-05,41.21,31839900,40.59,41.25,40.4,-0.006509161041465705
2014-06-06,41.48,24042030,41.48,41.66,41.24,0.005088441967530777
2014-06-09,41.27,15011640,41.39,41.48,41.02,0.0038919970810022964
2014-06-10,41.11,15002270,41.03,41.16,40.86,0.006118453255017142
2014-06-11,40.86,17635280,40.93,41.07,40.765,0.00689995071463767
2014-06-12,40.58,29812690,40.81,40.88,40.29,-0.015765219500363803
2014-06-13,41.23,26305900,41.1,41.565,40.86,-0.006506024096385565
2014-06-16,41.5,24127410,41.04,41.61,41.04,-0.004318618042226441
2014-06-17,41.68,22473060,41.29,41.91,40.335,0.0007202881152461593
2014-06-18,41.65,27053740,41.605,41.74,41.18,0.003372681281618828
2014-06-19,41.51,19828190,41.57,41.77,41.3301,-0.004078694817658435
2014-06-20,41.68,47760950,41.445,41.83,41.38,-0.00738271016908798
2014-06-23,41.99,18731430,41.73,42.0,41.69,0.0058689663432747174
2014-06-24,41.745,26499460,41.83,41.94,41.56,-0.006780870806566863
2014-06-25,42.03,20038340,41.7,42.05,41.46,0.007430488974113247
2014-06-26,41.72,23604390,41.93,41.94,41.43,-0.01254437869822489
2014-06-27,42.25,70385440,41.61,42.29,41.51,0.01318944844124692
2014-06-30,41.7,30790300,42.17,42.21,41.7,-0.004060186290900325
2014-07-01,41.87,26916950,41.86,42.15,41.69,-0.0007159904534606021
2014-07-02,41.9,20208090,41.73,41.9,41.53,0.0023923444976077235
2014-07-03,41.8,15969310,41.91,41.99,41.56,-0.004524886877828149
2014-07-07,41.99,21896680,41.75,42.12,41.71,0.005026328386787959
2014-07-08,41.78,31218210,41.87,42.0,41.61,0.0026397888168945283
2014-07-09,41.67,18374910,41.98,41.99,41.53,-0.0003598416696654061
2014-07-10,41.685,21854010,41.37,42.0,41.05,-0.00962223806129725
2014-07-11,42.09,24082750,41.7,42.09,41.48,-0.0011865211200758896
2014-07-14,42.14,21878810,42.22,42.45,42.04,-0.007302709069493596
2014-07-15,42.45,28743300,42.33,42.47,42.03,-0.036978221415607915
2014-07-16,44.08,63304860,42.51,44.31,42.48,-0.010105546822366973
2014-07-17,44.53,82146080,45.45,45.71,44.25,-0.00358021928843133
2014-07-18,44.69,43396060,44.65,44.84,44.25,-0.0032340805174529974
2014-07-21,44.835,37569630,44.56,45.16,44.22,0.00011153245594464067
2014-07-22,44.83,42589920,45.0,45.15,44.59,-0.0008914642299977515
2014-07-23,44.87,52352270,45.45,45.45,44.62,0.010585585585585644
2014-07-24,44.4,30692230,44.93,45.0,44.32,-0.0022471910112359383
2014-07-25,44.5,26700810,44.3,44.66,44.3,0.012053672958835637
2014-07-28,43.97,29650540,44.36,44.51,43.93,0.0019368804830808273
2014-07-29,43.885,27755840,43.91,44.09,43.64,0.007033284761981173
2014-07-30,43.5785,31918500,44.07,44.1,43.29,0.009696478220574622
2014-07-31,43.16,31527670,43.38,43.69,43.08,0.006999533364442367
2014-08-01,42.86,30926280,43.21,43.25,42.6,-0.011759280608715672
2014-08-04,43.37,34200470,42.97,43.47,42.81,0.006731662024141105
2014-08-05,43.08,26258880,43.31,43.46,42.83,0.007955077211043493
2014-08-06,42.74,24625300,42.74,43.17,42.21,-0.011334721258385305
2014-08-07,43.23,30300560,42.84,43.45,42.65,0.000694444444444331
2014-08-08,43.2,28942570,43.23,43.315,42.91,0.0
2014-08-11,43.2,19829060,43.26,43.45,43.02,-0.007352941176470562
2014-08-12,43.52,21422980,43.04,43.59,43.0,-0.01270417422867498
2014-08-13,44.08,22851140,43.68,44.18,43.52,-0.0042918454935623185
2014-08-14,44.27,19304230,44.08,44.417,44.01,-0.011609734315695341
2014-08-15,44.79,41573360,44.58,44.895,44.4,-0.007093770782531594
2014-08-18,45.11,26882850,44.94,45.11,44.68,-0.004853298036620268
2014-08-19,45.33,28087670,44.97,45.34,44.83,0.008453837597330205
2014-08-20,44.95,24747360,45.34,45.4,44.9,-0.005970809376382058
2014-08-21,45.22,22272010,44.84,45.25,44.83,0.0015503875968991832
2014-08-22,45.15,18293690,45.35,45.47,45.07,-0.000442771751162363
2014-08-25,45.17,16815800,45.4,45.44,45.04,0.0036662593045218017
2014-08-26,45.005,14850670,45.31,45.395,44.94,0.0030086917762426335
2014-08-27,44.87,20822900,44.9,45.0,44.76,-0.00022281639928711794
2014-08-28,44.88,17656590,44.75,44.98,44.61,-0.012106537530266248
2014-08-29,45.43,21577940,45.09,45.44,44.855,0.007540474606342773
2014-09-02,45.09,22956270,45.43,45.46,44.85,0.0028914590747330937
2014-09-03,44.96,33662430,44.53,45.11,44.53,-0.0066283694211223265
2014-09-04,45.26,26475110,44.74,45.27,44.72,-0.014158135482465695
2014-09-05,45.91,36687170,45.11,45.93,45.11,-0.01205078545298044
2014-09-08,46.47,45709750,46.02,46.8,45.99,-0.006201881950384958
2014-09-09,46.76,40248050,46.47,46.97,46.42,-0.001707941929974477
2014-09-10,46.84,27297820,46.82,46.94,46.28,-0.0034042553191488967
2014-09-11,47.0,29201070,46.74,47.0,46.47,0.006531748581218633
2014-09-12,46.695,38224850,46.91,47.02,46.6,0.009839965397923756
2014-09-15,46.24,37630230,46.54,46.71,46.1,-0.01112061591103497
2014-09-16,46.76,27865200,46.39,46.85,46.29,0.005159071367153878
2014-09-17,46.52,38247550,46.26,46.69,46.23,-0.003427592116538092
2014-09-18,46.68,35493560,46.59,46.83,46.46,-0.017676767676767735
2014-09-19,47.52,202514100,46.81,47.57,46.6,0.009774755631109189
2014-09-22,47.06,38655550,47.3,47.38,46.98,0.010738831615120237
2014-09-23,46.56,33386790,46.85,46.98,46.47,-0.011045029736618472
2014-09-24,47.08,26533890,46.63,47.11,46.34,0.022589052997393555
2014-09-25,46.04,32927320,46.88,47.09,46.03,-0.007972419737125591
2014-09-26,46.41,27051350,45.93,46.62,45.76,-0.0006459948320414188
2014-09-29,46.44,26057810,45.98,46.56,45.76,0.0017256255392579245
2014-09-30,46.36,32996820,46.37,46.4763,46.01,0.01002178649237484
2014-10-01,45.9,38050210,46.27,46.53,45.845,0.0030594405594406293
2014-10-02,45.76,25297400,45.83,46.1,45.64,-0.007159904534606354
2014-10-03,46.09,32351720,45.98,46.3,45.61,0.0
2014-10-06,46.09,20532430,46.12,46.3,45.9199,0.012299582692730127
2014-10-07,45.53,25617210,45.86,45.93,45.42,-0.026720820863616934
2014-10-08,46.78,32977510,45.48,46.89,45.34,0.02028353326063259
2014-10-09,45.85,34422150,46.5,46.8,45.74,0.04133545310015907
2014-10-10,44.03,51877600,45.6,46.12,43.95,0.008705612829324139
2014-10-13,43.65,37020680,43.82,44.56,43.49,-0.0018294077292476674
2014-10-14,43.73,38097300,43.87,44.38,43.56,0.011800092549745456
2014-10-15,43.22,60188290,43.0,43.39,42.1,0.01123069723912029
2014-10-16,42.74,49007120,42.53,43.08,42.22,-0.02039880815952333
2014-10-17,43.63,40654940,43.2,43.935,42.79,-0.010208711433756679
2014-10-20,44.08,34523930,43.06,44.14,42.81,-0.01782531194295911
2014-10-21,44.88,36234890,44.36,44.975,44.19,0.01126633618747186
2014-10-22,44.38,33570230,45.0,45.07,44.225,-0.01421590404264772
2014-10-23,45.02,43844860,44.62,45.445,44.53,-0.024062432256665933
2014-10-24,46.13,61053110,46.83,46.9,45.18,0.00479198431714245
2014-10-27,45.91,30319900,45.71,46.1,45.71,-0.012475801247580187
2014-10-28,46.49,29001420,45.86,46.5,45.77,-0.0027885027885027336
2014-10-29,46.62,30274720,46.44,46.7,46.34,0.01237785016286641
2014-10-30,46.05,30040850,46.32,46.32,45.77,-0.019169329073482566
2014-10-31,46.95,35826980,46.94,46.97,46.48,-0.010328836424957744
2014-11-03,47.44,23078100,46.89,47.46,46.73,-0.002732814799243255
2014-11-04,47.57,21287870,47.301,47.73,47.25,-0.006059339740910996
2014-11-05,47.86,22447160,47.8,47.9,47.26,-0.017248459958932316
2014-11-06,48.7,33033070,47.86,48.86,47.79,0.00041084634346755244
2014-11-07,48.68,27987700,48.92,48.92,48.2901,-0.004295356923706306
2014-11-10,48.89,36364840,48.65,49.15,48.55,0.0004092490280336314
2014-11-11,48.87,22180480,48.85,48.93,48.645,0.0018450184501843658
2014-11-12,48.78,22721330,48.56,48.92,48.52,-0.016730497883491235
2014-11-13,49.61,26207930,48.81,49.645,48.705,0.0006050826946348842
2014-11-14,49.58,29074940,49.74,50.045,49.39,0.0024262029923169948
2014-11-17,49.46,30309630,49.41,49.705,49.14,0.014772260976610552
2014-11-18,48.74,23938060,49.13,49.325,48.7,0.010783907092492884
2014-11-19,48.22,26166200,48.66,48.7549,47.93,-0.009856262833675689
2014-11-20,48.7,21486310,48.0,48.7,47.87,0.015006252605252346
2014-11-21,47.98,42867970,49.02,49.05,47.57,0.008194998949359045
2014-11-24,47.59,34266860,47.99,48.0,47.39,0.00252791236570471
2014-11-25,47.47,27951120,47.66,47.97,47.45,-0.005863874345549802
2014-11-26,47.75,27162850,47.49,47.99,47.28,-0.001254967580004207
2014-11-28,47.81,21534430,47.95,48.195,47.61,-0.016659810777457706
2014-12-01,48.62,31187680,47.88,48.78,47.71,0.0033016921172099867
2014-12-02,48.46,25768100,48.84,49.05,48.2,0.007903494176372705
2014-12-03,48.08,23528130,48.44,48.5,47.805,-0.015561015561015634
2014-12-04,48.84,30342050,48.39,49.06,48.2,0.00867410161090465
2014-12-05,48.42,26705270,48.82,48.97,48.38,0.015200754796100169
2014-12-08,47.695,26652610,48.26,48.35,47.445,0.002206345870981341
2014-12-09,47.59,24326090,47.11,47.92,47.05,0.014712153518123827
2014-12-10,46.9,30284690,47.58,47.66,46.7001,-0.005723977104091671
2014-12-11,47.17,29060360,47.08,47.74,46.68,0.0046858359957400175
2014-12-12,46.95,34247280,46.78,47.73,46.67,0.0059995714591816185
2014-12-15,46.67,29213490,47.2,47.67,46.55,0.033436669619132164
2014-12-16,45.16,47764300,45.9,46.34,45.13,-0.01268036729339761
2014-12-17,45.74,34967260,45.05,45.945,44.9,-0.03745791245791252
2014-12-18,47.52,40031480,46.58,47.52,46.3386,-0.002937473772555488
2014-12-19,47.66,64504160,47.63,48.1,47.17,-0.00666944560233429
2014-12-22,47.98,26561880,47.78,48.12,47.71,-0.009700722394220929
2014-12-23,48.45,23654190,48.37,48.8,48.13,0.006439551308683011
2014-12-24,48.14,11442790,48.64,48.64,48.08,0.005430242272347563
2014-12-26,47.88,13197120,48.41,48.41,47.82,0.009062170706006345
2014-12-29,47.45,14417170,47.7,47.78,47.26,0.009145044661845958
2014-12-30,47.02,16380820,47.44,47.62,46.84,0.012271259418729752
2014-12-31,46.45,21551090,46.73,47.44,46.45,-0.006629597946963162
2015-01-02,46.76,27843560,46.66,47.42,46.54,0.009390178089584422
2015-01-05,46.325,39667400,46.37,46.73,46.25,0.014786418400876356
2015-01-06,45.65,36434980,46.38,46.749,45.54,-0.012545965823058558
2015-01-07,46.23,29103920,45.98,46.46,45.49,-0.028577432233662714
2015-01-08,47.59,29634030,46.75,47.7499,46.72,0.008476372112735886
2015-01-09,47.19,23942750,47.61,47.82,46.9,0.012660944206008606
2015-01-12,46.6,23623970,47.42,47.54,46.36,0.005285298241829439
2015-01-13,46.355,35258300,46.97,47.91,46.06,0.008704167120008766
2015-01-14,45.955,29713190,45.96,46.24,45.62,0.010444151275285973
2015-01-15,45.48,32744260,46.22,46.38,45.41,-0.016435986159169635
2015-01-16,46.24,35683380,45.31,46.28,45.17,-0.003233455486096104
2015-01-20,46.39,36121800,46.3,46.65,45.57,0.010235191637630647
2015-01-21,45.92,37113740,45.94,46.14,45.48,-0.025673668576278397
2015-01-22,47.13,35842790,46.38,47.135,46.08,-0.001059771089444661
2015-01-23,47.18,26136690,47.36,47.39,46.8,0.0036162518613060968
2015-01-26,47.01,40995700,47.0,47.1339,46.2399,0.10196905766526032
2015-01-27,42.66,169115000,42.95,43.2,42.105,0.035688273852876984
2015-01-28,41.19,84453280,42.74,42.79,41.16,-0.019519162104260857
2015-01-29,42.01,63551980,40.93,42.12,40.79,0.039851485148514776
2015-01-30,40.4,77983360,41.55,41.58,40.35,-0.02131782945736438
2015-02-02,41.28,50274250,40.59,41.37,40.23,-0.007692307692307665
2015-02-03,41.6,52068450,41.63,41.93,41.045,-0.005736137667304075
2015-02-04,41.84,41585310,41.94,42.21,41.36,-0.014369846878680814
2015-02-05,42.45,36543020,42.22,42.64,41.855,0.0009431737797691575
2015-02-06,42.41,34612420,42.68,42.79,42.15,0.0011803588290839606
2015-02-09,42.36,27416280,42.24,42.74,42.21,-0.005633802816901401
2015-02-10,42.6,29655280,42.74,42.77,42.18,0.0051911278905143465
2015-02-11,42.38,38248500,42.65,42.65,42.21,-0.016477140867950824
2015-02-12,43.09,33238000,42.66,43.09,42.51,-0.017779803966263774
2015-02-13,43.87,40112080,43.38,43.87,43.15,0.006654428636989396
2015-02-17,43.58,33692870,43.97,44.0,43.19,0.0011486331265793126
2015-02-18,43.53,27105640,43.63,43.7,43.39,0.0006896551724138167
2015-02-19,43.5,27598050,43.18,43.5263,43.05,-0.008094858054953802
2015-02-20,43.855,29710140,43.51,43.88,43.29,-0.0066817667044167806
2015-02-23,44.15,32510550,43.7,44.19,43.65,0.0013608528010886634
2015-02-24,44.09,25262080,44.15,44.3,43.92,0.002273243919072465
2015-02-25,43.99,29749090,43.95,44.09,43.8,-0.0014754284417205499
2015-02-26,44.055,26524300,43.99,44.23,43.89,0.004675028506271328
2015-02-27,43.85,33784370,44.13,44.2,43.66,-0.0006836827711942384
2015-03-02,43.88,31766030,43.67,44.19,43.55,0.013863216266173817
2015-03-03,43.28,31685600,43.56,43.825,43.09,0.0052258738822437145
2015-03-04,43.055,25746840,43.01,43.21,42.88,-0.001275806077476238
2015-03-05,43.11,23176110,43.07,43.24,42.82,0.01770538243626052
2015-03-06,42.36,36120570,43.0,43.11,42.15,-0.011435239206534442
2015-03-09,42.85,32106530,42.19,43.125,42.19,0.019509873899595576
2015-03-10,42.03,39158290,42.35,42.71,42.03,0.0011910433539781273
2015-03-11,41.98,32214780,42.31,42.37,41.84,0.023403217942467025
2015-03-12,41.02,59984700,41.33,41.65,40.86,-0.008699855002416657
2015-03-13,41.38,57972120,40.7,41.47,40.61,-0.0043310875842156316
2015-03-16,41.56,35257510,41.47,41.64,41.28,-0.003237798297157868
2015-03-17,41.695,31669340,41.37,41.83,41.15,-0.01894117647058824
2015-03-18,42.5,44178520,41.43,42.83,41.33,0.005084545347049829
2015-03-19,42.285,33836100,42.26,42.59,42.22,-0.013875932835821003
2015-03-20,42.88,71754700,42.56,42.98,42.49,0.0005833625014586286
2015-03-23,42.855,26233420,42.88,43.13,42.78,-0.0010489510489510856
2015-03-24,42.9,25453110,42.78,43.17,42.75,0.0347322720694645
2015-03-25,41.46,43427180,42.92,42.925,41.44,0.0060664887163310866
2015-03-26,41.21,37483900,41.22,41.61,40.92,0.005857944837686091
2015-03-27,40.97,33980410,41.12,41.43,40.83,0.000244140625
2015-03-30,40.96,34999850,41.1,41.54,40.91,0.007502152256795069
2015-03-31,40.655,34884740,40.78,41.03,40.54,-0.0015962671905697112
2015-04-01,40.72,36841010,40.6,40.76,40.31,0.010672623479771604
2015-04-02,40.29,37483000,40.66,40.74,40.12,-0.030208207967264422
2015-04-06,41.545,39161760,40.34,41.78,40.18,0.0003611846857694001
2015-04-07,41.53,28808840,41.61,41.91,41.31,0.002655721873491057
2015-04-08,41.42,24699710,41.46,41.69,41.04,-0.0014464802314366754
2015-04-09,41.48,25722630,41.25,41.62,41.25,-0.0057526366251199335
2015-04-10,41.72,27856770,41.63,41.95,41.41,-0.0009578544061302763
2015-04-13,41.76,30270750,41.4,42.06,41.39,0.002641056422568955
2015-04-14,41.65,24238760,41.8,42.03,41.39,-0.014317832209206127
2015-04-15,42.255,27307270,41.76,42.46,41.68,0.0022533206831121255
2015-04-16,42.16,22425300,41.95,42.34,41.82,0.013096239336777504
2015-04-17,41.615,41912450,41.67,41.74,41.16,-0.030066425824495924
2015-04-20,42.905,46051240,41.73,43.17,41.68,0.0063328251436614025
2015-04-21,42.635,26004920,43.0,43.15,42.53,-0.008142375247179312
2015-04-22,42.985,25032050,42.67,43.13,42.55,-0.008191047531149187
2015-04-23,43.34,45445510,42.89,43.61,42.8,-0.0946312930854396
2015-04-24,47.87,130885200,45.66,48.14,45.65,-0.0033312513012700995
2015-04-27,48.03,58950840,47.23,48.13,47.22,-0.022886786695147987
2015-04-28,49.155,59860670,47.78,49.21,47.7,0.0019364044027720961
2015-04-29,49.06,47665440,48.72,49.31,48.5,0.008634868421052655
2015-04-30,48.64,64127280,48.7,49.54,48.6,-0.00030829308395852184
2015-05-01,48.655,36432670,48.58,48.875,48.4,0.008602819237147674
2015-05-04,48.24,33986240,48.37,48.87,48.18,0.013445378151260456
2015-05-05,47.6,50364250,47.82,48.16,47.31,0.028522039757994833
2015-05-06,46.28,52416760,47.57,47.77,46.02,-0.008993576017130689
2015-05-07,46.7,32940820,46.27,47.085,46.16,-0.021989528795811508
2015-05-08,47.75,35060430,47.55,47.98,47.52,0.008021954823728139
2015-05-11,47.37,24608910,47.55,47.91,47.37,0.0004223864836323532
2015-05-12,47.35,29927160,46.85,47.68,46.42,-0.005774278215223028
2015-05-13,47.625,34182750,48.19,48.32,47.57,-0.022475369458128003
2015-05-14,48.72,32956260,48.03,48.82,48.03,0.008800082824308886
2015-05-15,48.295,28628370,48.87,48.905,48.05,0.005936263278483622
2015-05-18,48.01,23918020,47.98,48.22,47.61,0.009037410676755009
2015-05-19,47.58,28181300,47.56,47.81,47.18,0.0
2015-05-20,47.58,25035330,47.39,47.93,47.27,0.003374103753690294
2015-05-21,47.42,22399100,47.28,47.6,47.005,0.01108742004264407
2015-05-22,46.9,25700240,47.3,47.35,46.82,0.006653788366602242
2015-05-26,46.59,29556430,46.83,46.88,46.19,-0.021424070573408893
2015-05-27,47.61,27333730,46.82,47.77,46.62,0.0033719704952581697
2015-05-28,47.45,19282810,47.5,48.02,47.39,0.01259069568928739
2015-05-29,46.86,36497290,47.43,47.57,46.59,-0.00783400381113697
2015-06-01,47.23,28610080,47.06,47.77,46.62,0.006606990622335829
2015-06-02,46.92,21484660,46.93,47.35,46.62,0.0014941302027748904
2015-06-03,46.85,28000370,47.37,47.735,46.82,0.01056945642795526
2015-06-04,46.36,27474500,46.79,47.16,46.2,0.004768097095795287
2015-06-05,46.14,25434870,46.31,46.52,45.84,0.008965668051607256
2015-06-08,45.73,22108100,46.3,46.43,45.67,0.0017524644030668668
2015-06-09,45.65,24395800,45.76,45.94,45.46,-0.020596438532503814
2015-06-10,46.61,28416030,45.79,46.83,45.69,0.003660637381567744
2015-06-11,46.44,27290100,46.66,46.92,46.13,0.010224059169023247
2015-06-12,45.97,23916080,46.22,46.47,45.9,0.010885101704233069
2015-06-15,45.475,33227000,45.45,45.65,45.0201,-0.0077460178922103
2015-06-16,45.83,26895950,45.35,46.24,45.3,-0.003045464433326095
2015-06-17,45.97,28683290,45.73,46.07,45.36,-0.01605308219178081
2015-06-18,46.72,32586480,46.22,46.8,46.17,0.013449023861171305
2015-06-19,46.1,63733110,46.79,46.825,45.99,-0.0028120268224095524
2015-06-22,46.23,20300480,46.33,46.72,46.16,0.006970159006752352
2015-06-23,45.91,25881850,46.13,46.28,45.62,0.006026076476388642
2015-06-24,45.635,34849400,45.67,46.245,45.55,-0.0003285870755750375
2015-06-25,45.65,20599990,46.03,46.06,45.5,0.008616880247459102
2015-06-26,45.26,49757070,45.65,46.28,45.03,0.02005859815190436
2015-06-29,44.37,34004400,45.04,45.23,44.36,0.0049830124575311885
2015-06-30,44.15,35943040,44.71,44.72,43.94,-0.006637417032287152
2015-07-01,44.445,28339610,44.46,45.23,44.1,0.001013513513513642
2015-07-02,44.4,21743250,44.48,44.75,44.06,0.00022527596305477182
2015-07-06,44.39,23025750,43.96,44.48,43.95,0.002031602708803648
2015-07-07,44.3,36420230,44.34,44.49,43.32,0.0013562386980108254
2015-07-08,44.24,39761460,44.44,44.9,44.03,-0.0062893081761006275
2015-07-09,44.52,32404100,44.75,45.22,44.5,-0.0020174848688634395
2015-07-10,44.61,25365530,45.01,45.14,44.57,-0.020421607378129147
2015-07-13,45.54,27875670,44.975,45.62,44.9501,-0.0017536168347215275
2015-07-14,45.62,22865770,45.45,45.96,45.31,-0.0030594405594405183
2015-07-15,45.76,26619810,45.68,45.89,45.43,-0.01928846978139731
2015-07-16,46.66,26254220,46.01,46.69,45.965,0.0008580008580008069
2015-07-17,46.62,29454740,46.55,46.78,46.26,-0.006393861892583175
2015-07-20,46.92,30607770,46.65,47.13,46.44,-0.0076142131979695105
2015-07-21,47.28,42211210,46.78,47.33,46.48,0.0382081686429514
2015-07-22,45.54,59039160,45.44,46.93,45.203,-0.01236174365647369
2015-07-23,46.11,33708200,45.27,46.23,45.1,0.0037004788855028448
2015-07-24,45.94,32304070,45.91,46.32,45.8,0.013009922822491582
2015-07-27,45.35,39472930,45.94,46.01,45.25,0.00022055580061741686
2015-07-28,45.34,34309080,45.58,45.639,44.79,-0.020522791099589432
2015-07-29,46.29,40924210,45.4,46.78,45.26,-0.012585324232082029
2015-07-30,46.88,39755700,46.26,47.4,45.93,0.003854389721627438
2015-07-31,46.7,31192430,47.29,47.37,46.5,-0.002349925229651717
2015-08-03,46.81,23919340,46.98,47.0,46.45,-0.0153554901135885
2015-08-04,47.54,33306110,46.75,47.71,46.68,-0.0008406893652794789
2015-08-05,47.58,27003740,47.98,48.41,47.54,0.0205920205920207
2015-08-06,46.62,27344040,47.71,47.77,46.33,-0.0025673940949936247
2015-08-07,46.74,19158590,46.39,46.78,46.26,-0.012465666596239044
2015-08-10,47.33,23045530,46.95,47.49,46.84,0.01982331394096093
2015-08-11,46.41,28757610,46.82,46.94,45.9,-0.007060333761232496
2015-08-12,46.74,30184710,46.19,46.9,45.705,0.00021399529210364143
2015-08-13,46.73,22612650,47.06,47.1,46.49,-0.0057446808510639435
2015-08-14,47.0,21460830,46.53,47.1,46.52,-0.006762468300929858
2015-08-17,47.32,21039660,46.81,47.45,46.57,0.0010577533319229282
2015-08-18,47.27,23572990,46.84,47.43,46.7,0.014160051491096448
2015-08-19,46.61,31472060,46.78,47.08,46.3,0.02080595707402555
2015-08-20,45.66,36176380,46.07,46.47,45.66,0.06013466449965166
2015-08-21,43.07,69463900,45.3,45.48,43.07,0.033349328214971274
2015-08-24,41.68,88489910,40.45,43.31,39.72,0.029898690387941684
2015-08-25,40.47,70369920,42.565,43.24,40.39,-0.05244673378599862
2015-08-26,42.71,63297300,42.01,42.84,41.06,-0.027107061503416796
2015-08-27,43.9,50612610,43.23,43.95,42.925,-0.0006829046209879674
2015-08-28,43.93,28243230,43.4,44.15,43.39,0.00942095588235281
2015-08-31,43.52,34434480,43.56,43.93,43.1,0.04065040650406515
2015-09-01,41.82,49682210,42.17,42.59,41.66,-0.035516605166051596
2015-09-02,43.36,37624230,42.36,43.38,41.88,-0.003218390804597737
2015-09-03,43.5,28206410,43.41,43.98,43.28,0.020887115700539693
2015-09-04,42.61,37019110,42.81,43.04,42.195,-0.029163818637502836
2015-09-08,43.89,32411680,43.3,44.0,43.2,0.01903877408869281
2015-09-09,43.07,33448580,44.21,44.4,42.91,-0.00508200508200507
2015-09-10,43.29,31313520,43.12,43.79,42.745,-0.004369825206991695
2015-09-11,43.48,26475350,43.14,43.59,42.9399,0.010223048327137496
2015-09-14,43.04,23654490,43.43,43.44,42.86,-0.02137335152341968
2015-09-15,43.98,28831030,43.19,44.29,43.08,-0.007223476297968379
2015-09-16,44.3,23337620,43.97,44.38,43.84,0.001129943502824693
2015-09-17,44.25,29908540,44.29,45.0,44.08,0.01770929162833501
2015-09-18,43.48,63000180,43.5,43.99,43.33,-0.014282475629109115
2015-09-21,44.11,26084680,43.62,44.47,43.6,0.004783599088838297
2015-09-22,43.9,28060540,43.38,44.05,43.31,0.0006838386140870512
2015-09-23,43.87,17099600,43.93,44.17,43.51,-0.0009109542245502311
2015-09-24,43.91,27867010,43.45,44.13,43.27,-0.000682749203459343
2015-09-25,43.94,29378050,44.48,44.73,43.76,0.01501501501501501
2015-09-28,43.29,27454240,43.83,44.085,43.205,-0.0034530386740331265
2015-09-29,43.44,32748610,43.37,43.57,43.05,-0.018526886579304125
2015-09-30,44.26,34944070,43.88,44.3,43.66,-0.00784577449002466
2015-10-01,44.61,28564790,44.75,44.75,43.75,-0.02106649111257408
2015-10-02,45.57,41789610,44.27,45.57,43.92,-0.022732146686682442
2015-10-05,46.63,33546080,45.745,46.89,45.7,-0.002566844919786093
2015-10-06,46.75,27504360,46.33,47.175,46.22,-0.0010683760683759536
2015-10-07,46.8,27695610,47.1,47.35,45.95,-0.013698630136986467
2015-10-08,47.45,33733860,46.56,47.515,46.5,0.007217151347909123
2015-10-09,47.11,28581690,47.45,47.54,46.92,0.002340425531914825
2015-10-12,47.0,19756420,46.98,47.07,46.5,0.002345915973555046
2015-10-13,46.89,19985330,46.56,47.1299,46.56,0.004498714652956259
2015-10-14,46.68,24693460,46.65,47.1,46.53,-0.00701978302488826
2015-10-15,47.01,27155510,47.01,47.03,46.53,-0.010524100189433838
2015-10-16,47.51,25845550,47.02,47.54,46.897,-0.002309953800924025
2015-10-19,47.62,29357660,47.42,47.88,47.02,-0.0031400460540088604
